"Nazwa";"ID";"Typ";"Nacja";"Masa [t]";"Dlugosc [m]";"Szerokosc [m]";"Wysokosc [m]";"Ilosc wyprodukowanych egzemplarzy";"Liczba osob w zalodze";"Poczatek produkcji";"Koniec produkcji";"Grubosc pancerza w najcienszym miejscu [mm]";"Grubosc pancerza w najgrubszym miejscu [mm]";"Moc silnika [KM]";"Max predkosc [km/h]";"Zasieg [km]";"Nazwa glownego uzbrojenia";"Kaliber [mm]";"Zdjecie"
"BT-5";1;"LT";"SU";11.5;5.58;2.23;2.25;8000;3;1932;1941;6;13;400;72;200;"Dzialo M32";45;"images/vehicles/1.jpg"
"Typ 95 Ha-Go";2;"LT";"JP";7.4;4.38;2.06;2.18;2378;3;1935;1943;6;14;120;45;250;"Dzialo Typ 98";37;"images/vehicles/2.jpg"
"T-35";3;"HT";"SU";45;9.72;3.2;3.43;61;11;1934;1939;11;30;500;30;150;"Dzialo KT-28";76.2;"images/vehicles/3.jpg"
"PzKpfw II";4;"LT";"DE";9.5;4.64;2.3;2.02;524;3;1935;1943;5;35;140;55;200;"Dzialo KWK 30";20;"images/vehicles/4.jpg"
"Char B1 Bis";5;"HT";"FR";31.5;6.63;2.52;2.85;403;4;1937;1940;14;60;307;28;135;"Haubica ABS SA35";75;"images/vehicles/5.jpg"
"PzKpfw 38(t)";6;"MT";"DE";9.8;4.61;2.13;2.25;1414;4;1939;1942;8;50;150;42;250;"Dzialo Skoda A7";37;"images/vehicles/6.jpg"
"Mk III Valentine";7;"LT";"GB";17;5.41;2.63;2.73;8275;3;1940;1944;8;65;131;24;145;"Dzialo QF";40;"images/vehicles/7.jpg"
"PzKpfw III";8;"MT";"DE";17.4;5.38;2.91;2.44;5774;5;1937;1943;15;50;300;40;155;"Dzialo KwK 38 L/42";50;"images/vehicles/8.jpg"
"StuG III";9;"TD";"DE";23.9;6.77;2.95;2.16;10306;4;1940;1945;10;80;300;40;165;"Dzialo StuK 40 L/48";75;"images/vehicles/9.jpg"
"KW-1A";10;"HT";"SU";46;6.52;3.25;2.75;4700;5;1939;1943;37;78;550;35;225;"Dzialo F32";76.2;"images/vehicles/10.jpg"
"PzKpfw IV";11;"MT";"DE";22;5.91;2.88;2.68;9173;5;1938;1945;15;60;296;42;240;"Dzialo KwK 37";75;"images/vehicles/11.jpg"
"Mk VI Crusader I";12;"LT";"GB";19.7;5.99;2.64;2.23;4940;3;1940;1943;7;51;340;43.5;204;"Dzialo 6-funtowe QF";57;"images/vehicles/12.jpg"
"Mk IV Churchill";13;"HT";"GB";40.6;7.65;3.25;2.5;7368;5;1941;1945;16;152;350;25;195;"Dzialo 6-funtowe QF";90;"images/vehicles/13.jpg"
"M3A3 Stuart";14;"LT";"USA";14.7;4.53;2.23;2.52;22743;4;1941;1944;10;65;250;58;120;"Dzialo M5";37;"images/vehicles/14.jpg"
"M3A3 General Lee";15;"MT";"USA";27;5.64;2.72;3;6258;7;1941;1942;12.5;76;340;40;240;"Dzialo M2 L/31";75;"images/vehicles/15.jpg"
"T-70";16;"LT";"SU";9.2;4.29;2.32;2.04;8226;2;1942;1943;10;60;140;45;360;"Dzialo 20 Km wz. 1938";45;"images/vehicles/16.jpg"
"T-34";17;"MT";"SU";26.5;6.68;3;2.45;84070;4;1940;1958;15;60;500;53;400;"Dzialo F 34";76.2;"images/vehicles/17.jpg"
"PzKpfw VI Tiger";18;"HT";"DE";56.9;8.45;3.7;2.93;1355;5;1942;1944;25;120;700;38;140;"Dzialo KwK 36 L/56";88;"images/vehicles/18.jpg"
"M4A4 Sherman";19;"MT";"USA";31.6;6.06;2.9;2.84;49000;5;1942;1945;9;85;425;47;160;"Dzialo M3 L/40";75;"images/vehicles/19.jpg"
"PzKpfw V Panther";20;"MT";"DE";47.4;8.86;3.4;2.95;5992;5;1942;1945;15;80;700;46;200;"Dzialo KwK 42 L/70";75;"images/vehicles/20.jpg"
"KW-85";21;"HT";"SU";43;8.6;3.25;2.8;148;5;1943;1943;40;90;600;42;330;"Dzialo DT5";85;"images/vehicles/21.jpg"
"T-34-85";22;"MT";"SU";32;6;2.92;2.39;80000;5;1944;1957;20;55;500;55;300;"Dzialo ZIS-S-53";85;"images/vehicles/22.jpg"
"Sherman VC Firefly";23;"MT";"USA";33;7.85;2.67;2.74;2348;4;1942;1945;15;100;470;40;200;"Dzialo QF 17-funtowe";76.2;"images/vehicles/23.jpg"
"Mk VIII Cromwell";24;"MT";"GB";29;6.35;2.9;2.49;4235;5;1943;1960;8;76;600;61;280;"Dzialo QF";75;"images/vehicles/24.jpg"
"PzKpfw VIB Tiger II";25;"HT";"DE";63.5;7.25;3.72;3.27;487;5;1944;1945;40;180;700;38;170;"Dzialo KwK 43 L/71";88;"images/vehicles/25.jpg"
"Jagdpanzer VI Jagdtiger";26;"TD";"DE";70.6;10.65;3.63;2.95;88;6;1944;1945;25;250;700;38;120;"Dzialo PaK 44 L/55";128;"images/vehicles/26.jpg"
